Question ID,Question Title,Difficulty Level,Similar Questions Text,Solution Link,url,Question Text,Python Solution Path,Solution Exists
1,Two Sum,Easy,"[3Sum, /problems/3sum/, Medium], [4Sum, /problems/4sum/, Medium], [Two Sum II - Input array is sorted, /problems/two-sum-ii-input-array-is-sorted/, Easy], [Two Sum III - Data structure design, /problems/two-sum-iii-data-structure-design/, Easy], [Subarray Sum Equals K, /problems/subarray-sum-equals-k/, Medium], [Two Sum IV - Input is a BST, /problems/two-sum-iv-input-is-a-bst/, Easy], [Two Sum Less Than K, /problems/two-sum-less-than-k/, Easy], [Max Number of K-Sum Pairs, /problems/max-number-of-k-sum-pairs/, Medium], [Count Good Meals, /problems/count-good-meals/, Medium]",https://leetcode.com/articles/two-sum,https://leetcode.com/problems/two-sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ",./PythonSolutions/two-sum.py,True
2,Add Two Numbers,Medium,"[Multiply Strings, /problems/multiply-strings/, Medium], [Add Binary, /problems/add-binary/, Easy], [Sum of Two Integers, /problems/sum-of-two-integers/, Medium], [Add Strings, /problems/add-strings/, Easy], [Add Two Numbers II, /problems/add-two-numbers-ii/, Medium], [Add to Array-Form of Integer, /problems/add-to-array-form-of-integer/, Easy], [Add Two Polynomials Represented as Linked Lists, /problems/add-two-polynomials-represented-as-linked-lists/, Medium]",https://leetcode.com/articles/add-two-numbers,https://leetcode.com/problems/add-two-numbers,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ",./PythonSolutions/add-two-numbers.py,True
3,Longest Substring Without Repeating Characters,Medium,"[Longest Substring with At Most Two Distinct Characters, /problems/longest-substring-with-at-most-two-distinct-characters/, Medium], [Longest Substring with At Most K Distinct Characters, /problems/longest-substring-with-at-most-k-distinct-characters/, Medium], [Subarrays with K Different Integers, /problems/subarrays-with-k-different-integers/, Hard], [Maximum Erasure Value, /problems/maximum-erasure-value/, Medium]",https://leetcode.com/articles/longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Given a string s, find the length of the longest substring without repeating characters. ",./PythonSolutions/longest-substring-without-repeating-characters.py,True
5,Longest Palindromic Substring,Medium,"[Shortest Palindrome, /problems/shortest-palindrome/, Hard], [Palindrome Permutation, /problems/palindrome-permutation/, Easy], [Palindrome Pairs, /problems/palindrome-pairs/, Hard], [Longest Palindromic Subsequence, /problems/longest-palindromic-subsequence/, Medium], [Palindromic Substrings, /problems/palindromic-substrings/, Medium]",https://leetcode.com/articles/longest-palindromic-substring,https://leetcode.com/problems/longest-palindromic-substring,"Given a string s, return the longest palindromic substring in s. ",./PythonSolutions/longest-palindromic-substring.py,True
7,Reverse Integer,Easy,"[String to Integer (atoi), /problems/string-to-integer-atoi/, Medium], [Reverse Bits, /problems/reverse-bits/, Easy]",https://leetcode.com/articles/reverse-integer,https://leetcode.com/problems/reverse-integer,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ",./PythonSolutions/reverse-integer.py,True
8,String to Integer (atoi),Medium,"[Reverse Integer, /problems/reverse-integer/, Easy], [Valid Number, /problems/valid-number/, Hard]",https://leetcode.com/articles/string-to-integer,https://leetcode.com/problems/string-to-integer-atoi,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows: Note: ",./PythonSolutions/string-to-integer-atoi.py,True
9,Palindrome Number,Easy,"[Palindrome Linked List, /problems/palindrome-linked-list/, Easy]",https://leetcode.com/articles/palindrome-number,https://leetcode.com/problems/palindrome-number,"Given an integer x, return true if x is palindrome integer. An integer is a palindrome when it reads the same backward as forward. ",./PythonSolutions/palindrome-number.py,True
10,Regular Expression Matching,Hard,"[Wildcard Matching, /problems/wildcard-matching/, Hard]",https://leetcode.com/articles/regular-expression-matching,https://leetcode.com/problems/regular-expression-matching,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). ",./PythonSolutions/regular-expression-matching.py,True
11,Container With Most Water,Medium,"[Trapping Rain Water, /problems/trapping-rain-water/, Hard]",https://leetcode.com/articles/container-with-most-water,https://leetcode.com/problems/container-with-most-water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. ",./PythonSolutions/container-with-most-water.py,True
12,Integer to Roman,Medium,"[Roman to Integer, /problems/roman-to-integer/, Easy], [Integer to English Words, /problems/integer-to-english-words/, Hard]",https://leetcode.com/articles/integer-to-roman,https://leetcode.com/problems/integer-to-roman,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given an integer, convert it to a roman numeral. ",./PythonSolutions/integer-to-roman.py,True
