, #    , Problem                                                                                                                                                         , Solution                                                                               
0, ---- , --------------------------------------------------------------------------------------------------------------------------------------------------------------- , -------------------------------------------------------------------------------------- 
1, 1    , [Two Sum](https://leetcode.com/problems/two-sum/)                                                                                                               , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/1.py)            
2, 2    , [Add Two Numbers](https://leetcode.com/problems/add-two-numbers)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/2.py)    
3, 3    , [Longest Substring Without Repeating Characters](https://leetcode.com/problems/longest-substring-without-repeating-characters)                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/3.py)    
4, 4    , [Median of Two Sorted Arrays](https://leetcode.com/problems/median-of-two-sorted-arrays)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/4.py)    
5, 5    , [Longest Palindromic Substring](https://leetcode.com/problems/longest-palindromic-substring)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/5.py)    
6, 6    , [ZigZag Conversion](https://leetcode.com/problems/zigzag-conversion)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/6.py)    
7, 7    , [Reverse Integer](https://leetcode.com/problems/reverse-integer)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/7.py)    
8, 8    , [String to Integer (atoi)](https://leetcode.com/problems/string-to-integer-atoi)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/8.py)    
9, 9    , [Palindrome Number](https://leetcode.com/problems/palindrome-number)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/9.py)    
10, 10   , [Regular Expression Matching](https://leetcode.com/problems/regular-expression-matching)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/10.py)   
11, 11   , [Container With Most Water](https://leetcode.com/problems/container-with-most-water)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/11.py)   
12, 12   , [Integer to Roman](https://leetcode.com/problems/integer-to-roman)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/12.py)   
13, 13   , [Roman to Integer](https://leetcode.com/problems/roman-to-integer)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/13.py)   
14, 14   , [Longest Common Prefix](https://leetcode.com/problems/longest-common-prefix)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/14.py)   
15, 15   , [3Sum](https://leetcode.com/problems/3sum)                                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/15.py)   
